chromosome	position 1	position 2	2.R2	1.R1	2.R1	1.R2	3.R2	3.R1	1.R3
X	3836	11645	446	547			818	766	840
X	411	4247	570	686			1134	1245	1706
X	10823	12193	708	1029			1678	1946	1997
Y	7946	21372	224	775	554	292	455	828	234
Y	2192	11919	280	1156	546	427	694	1101	397
Z	19043	24797				985			260
Z	4384	24660				389			161
Z	11645	20550				1202			356
X	548	15344	251	210			292	365	355
Z	2603	23838				576			204
W	1507	6987	272	520		396	514	510	526
X	7672	12604	619	667			767	1059	1244
Y	20687	15892	412	1848	895	470	810	1558	571
Y	5617	19454	253	1062	515	378	529	1099	360
Y	9316	10686	443	1880	914	711	1151	1841	656
Z	822	6028				1267			360
X	5069	6302	994	1297			1826	2145	1882
Y	19728	15755	301	1453	695	482	626	1316	529
Z	4110	22468				683			325
Y	20550	14659	403	1638	801	658	813	1136	560
W	5206	6850	568	952		556	756	729	973
W	0	7672	236	448		306	314	377	303
W	822	5754	311	520		276	451	561	534
Z	12741	17125				1077			396
Z	3151	13426				1324			474
Z	959	23564				769			177
Z	5617	23701				546			182
W	4658	7809	323	816		409	612	649	753
X	959	15892	222	222			311	339	450
Z	5343	5617				1693			571
Y	11919	17536	281	1203	588	376	549	1312	379
Z	19454	20824				1058			392
Z	1370	27263				603			138
Y	822	12193	197	828	439	266	472	601	240
Y	8357	14659	389	1194	699	523	804	1114	573
Y	7124	11371	441	2195	866	560	982	1909	738
Z	4247	8083				1108			446
Z	13974	24523				961			337
Z	19728	19728				1129			360
Z	16303	19454				1148			477
X	2055	6987	526	734			778	1002	1005
W	9590	10001	725	1288		765	1117	1413	1250
Y	20550	17810	332	1384	631	378	734	1394	448
Z	9727	15892				1408			478
X	2055	15344	115	298			433	324	448
Z	548	25345				335			55
Y	6302	21646	228	877	426	364	421	786	324
X	6302	14933	441	423			634	851	1098
Z	2329	5069				1699			453
Y	4110	4110	336	1783	834	514	728	1488	546
Z	20824	24112				1059			334
X	3699	8494	651	827			1145	1029	1412
Y	1918	10686	305	1406	558	400	645	975	418
X	1370	9316	424	358			581	676	644
Y	548	1644	394	1422	657	547	812	1389	481
X	3288	11097	485	533			722	764	862
Y	7261	18632	185	919	360	310	500	687	332
Y	11645	15481	366	1597	999	600	856	1541	620
X	13700	15755	460	698			1090	917	1085
X	6302	6713	923	1197			1768	1883	1921
Z	21098	26304				946			298
Z	0	5754				1179			392
X	274	16166	157	280			254	301	296
X	411	14111	129	172			194	204	249
Z	1233	27263				583			117
Y	5343	6028	422	2323	855	683	880	1686	634
Y	0	3973		1578	724	448	722	1373	419
W	411	4247	392	607		386	595	590	571
Y	1644	6439	359	1421	797	586	769	1229	514
W	959	9590	183	399		223	382	352	329
Y	12056	13152	361	1398	724	630	759	1389	644
Z	5891	10138				1442			578
Z	20687	22057				1084			333
Y	21235	17262	332	1569	648	528	886	1201	481
W	1918	4521	383	810		517	644	781	674
Z	3425	11645				1580			486
Y	11234	12467	421	2056	977	589	964	1678	577
Z	9042	11645				1497			634
X	8768	9179	760	987		615	1395	1351	1630
Z	548	23975				784			177
Y	3973	11919	239	1495	472	321	494	914	405
Y	5891	17399	189	1071	381	230	446	583	267
Z	21235	23975				984			318
Z	15070	27263				897			279
Y	13700	16166	383	1227	619	464	619	1017	486
X	3699	8220	680	698			1156	1306	1399
Z	8220	17399				1083			336
Z	8494	17262				1200			361
W	3973	10412	387	489		305	489	493	462
X	4521	5617	770	899			1655	1784	1759
X	7946	16303	306	432				464	605
X	4658	13563	504	439			607	770	670
Y	5480	6850	418	2168	774	695	1059	1956	629
Y	6987	17262	267	1078	557	392	578	872	376
W	8631	10275	416	851		369	750	660	691
Y	2329	21646	115	583	432	101	219	403	164
W	2877	6028	352	582		323	596	675	566
W	2740	3014	402	748		486	669	789	792
Z	10412	19728				1314			375
Z	8768	13152				1510			637
Y	7261	12604	549	1520	797	437	871	1400	452
Z	18495	26578				768			319
Z	6576	13700				1443			417
X	1918	8220	547	565			761	794	965
Z	13152	19865				966			351
Z	12056	26441				626			245
Z	6165	16988				1105			371
Y	822	8494	298	1075	574	375	562	1079	400
X	1781	8768	341	483			695	655	720
Y	274	2466	296	1284	552	417	717	1217	413
Z	24249	24386				1570			599
Z	8357	20413				717			232
X	3288	4384	720	867			1268	1492	1415
Y	2055	7398	471	1548	948	565	942	1608	510
Z	8905	20002				930			269
Z	15755	22468				1196			407
Z	137	9316				988			417
Z	548	16851				1054			327
Y	20961	14933	403	1290	714	587	655	1233	508
Y	5069	15618	203	838	366	315	361	743	316
Z	8494	11919				1316			438
X	3288	3288	1033	937			1599	1632	1778
Z	5069	11371				1397			533
X	5206	13426	573	651			888	1196	1143
X	8220	15618	313	396			543	722	618
Z	9453	26304				535			235
Z	11097	26441				725			273
Y	9179	19865		959	549	314	496	803	284
W	6165	7946	471	891		500	608	727	691
W	4384	9316	378	623		341	787	548	536
Z	4521	26715				311			85
Z	14796	17262				1783			638
Z	10001	16029				1423			394
W	5069	10001	409	902		411	672	670	665
Y	1918	7398	447	1493	787	569	867	1502	608
Y	1918	16577	168	784	363	251	400		216
Y	548	2055	303	1264	744	409	800	1429	362
Z	15755	19180				1240			432
Y	9042	20002	233	905	461	354	622	1083	299
Z	13426	20824				940			431
Y	3836	21372	98	363	320	199	217	353	121
Z	6713	19317				755			208
Z	4521	7398				1234			602
Y	8357	10960	379	1635	826	635	743	1538	644
Z	11097	21235				801			416
W	5891	9042	405	889		399	694	673	659
Y	1096	13974	229	1033	489	396	409	667	334
Z	8494	24660				841			373
W	5891	10138	425	754		405	597	644	622
Z	9864	16029				1331			469
Y	21098	17536	334	1339	570	462	676	899	443
Z	6850	24797				819			315
X	4384	10275	554	660			1037	989	982
Z	23701	24660				1866			587
X	3562	14111	372	563			813	928	895
Z	5617	9590				1412			690
Y	21372	16714	383	1560	589	385	773	1494	463
W	3014	8768	226	414		221	398	416	410
Z	7809	18495				604			244
Z	5069	19043				949			308
Y	2740	6850	454	1944	903	659	862	1311	591
Z	15892	22468				1208			385
Z	7261	9179				1217			411
Z	15481	21235				1052			458
Z	11919	20550				1275			427
W	685	2192	447	785		444	917	750	709
X	7535	10960	711	945			1340	1208	1794
Z	548	8220				1387			486
X	1918	5206	681	770			1049	913	1275
W	2329	6987	550	858		384	644	571	621
Z	22468	23564				1198			403
Z	14933	24934				988			396
X	11371	13015	820	925			1238	1737	1271
Z	274	23016				548			204
Z	8220	20413				701			229
Z	22331	26030				1056			434
Y	5480	6576	433	1669	817	560	1231	1680	606
Z	5617	8220				1349			425
Z	10001	13700				1540			589
Z	1370	7261				1402			561
Y	9179	16440	333	1264	734	416	694	1160	479
Z	548	6302				1146			440
Y	8494	18084	227	866	477	298	553	861	304
W	3973	9590	299	859		297	492	449	561
X	2603	7261	494	590			966	805	1083
Y	1918	10549	285	1131	579	457	755	1172	448
X	7398	11645	657	840			1423	1344	1328
Y	10823	11919	447	1825	862	572	1014	1830	717
Z	13426	15070				1791			613
Y	6302	8220	426	1681	831	680	1137	1993	660
Z	548	9590				1079			323
Z	15344	26304				1269			388
Y	3288	5343	275	1306	659	508	777	1494	477
Y	14522	20002	327	1502	648	658	933	1255	442
Z	6028	12741				944			321
W	8631	10138	630	832		476	675	732	771
Y	1370	20687	121	453	257	132	281	598	177
Y	9590	19728	231	1099	537	470	460	910	354
Z	1781	8631				1341			379
X	959	10686	476	611			738	807	1268
Z	274	20824				479			155
Y	21372	14796	346	1286	767	531	584	1095	518
Z	17673	20961				1258			467
Z	7672	18221				831			223
Z	7809	14385				1236			294
X	959	5069	665	663			1222	1034	1158
Z	8494	26715				793			209
Y	12467	20002	312	1293	614	478	699	962	449
Z	11919	19317				1196			323
Z	685	22194				339			90
Y	4247	12193	254	936	445	294	562	866	337
X	6713	10275	716	774			1321	1495	1301
Y	10686	10686	443	2236	817	794	946	1985	680
Z	16440	18358				1457			488
Y	6713	13152	334	1224	585	507	769	1300	461
Z	9864	17125				1290			455
Z	10823	23564				781			257
Z	9727	26852				576			174
Z	3288	9864				1677			440
Z	6576	16577				1310			524
X	822	822	670	935		539	1538	1253	1430
W	3562	8357	382	550		417	415	489	490
Z	8631	25756				780			209
Z	5617	22331				843			282
Z	18221	24386				1084			426
Y	1644	3151	357	1466	734	513	758	1051	502
X	8631	10138	636	984			1287	1604	1405
X	7261	7809	831	811			1215	1072	1417
Y	17673	17125	381	1332	501	442	573	1065	337
Y	2603	14111	177	730	333	339	415	810	293
Z	17536	20002				1454			405
W	3562	9590	247	552		230	510	626	374
Y	4658	15070	202	773	466	264	408	823	250
Z	12467	21920				881			282
Y	8220	12467	347	1476	653	509	746	1233	489
Z	13426	13563				1652			555
Y	4795	8220	385	1512	811	646	991	1659	724
X	3836	11782	572	533			745	791	1011
Z	959	21783				507			99
W	5069	8494	351	580		353	528	613	497
Z	19180	21098				1211			440
W	1096	6987	392	676		324	492	450	537
Y	21235	20550	522	1880	977	812	995	1980	812
Z	15892	17673				1618			477
Y	2740	14111	206	646	367	240	538	667	230
Z	6576	18906				764			243
Z	9179	17810				1233			367
Z	2740	6850				1460			513
X	0	5480	482	512			897	977	1196
Y	548	8768	243	1066	436	343	620	1169	354
Z	2603	22194				473			200
Z	21646	22605				1302			492
Z	685	9727				929			364
Y	10412	14111	330	1330	698	434	841	1192	548
Z	1644	25619				251			91
Z	6987	7672				1648			515
Y	5206	5891	437	1701	1138	654	888	1572	609
Z	5617	8357				1273			352
Y	7398	18221	243	828	489	320	585	768	321
Z	25071	26304				1754			651
Z	11508	25619				944			340
Z	13837	17810				1375			520
X	1233	3425	663	648			945	1320	1315
X	4658	10138	543	738			1139	1134	1245
X	9179	12604	580	667			891	813	923
Z	17810	23153				1064			352
X	8768	10960	793	735			1188	1017	1302
Y	8083	13289	426	1849	835	645	991	1627	664
Z	411	13289				657			255
Y	1644	18769	136	333	234	109	150	339	128
Z	10686	15755				1215			514
X	2329	2740	688	714			895	878	1267
Z	10960	22879				1092			306
Y	8083	9453	474	1752	808	620	1017	1794	614
X	685	685	659	924		629	1236	1464	1219
X	4247	11234	717	887			1131	961	1265
Y	3288	12330	232	1248	446	331	632	1210	466
X	1918	8357	479	390			559	735	886
Y	6165	16714	231	758	403	341	482	813	273
Z	7124	13015				1261			351
W	3014	5206	473	851		429	739	696	822
Z	548	15755				1159			366
X	2466	14385	293	338			421	593	662
Y	4658	5480	505	1565	762	616	1109	1328	538
Z	9590	19591				849			344
Z	6302	19728				683			321
Z	12193	18769				1110			345
Z	1096	5480				1239			415
Y	685	16166	106	422	181	164	289	371	179
Y	5343	15481	258	909	469	288	453	787	280
Y	10549	20413	295	1249	791	457	752	1112	448
Z	15481	20961				1306			359
Z	3151	14933				1354			334
Y	9453	20276	372	1435	630	481	766	1008	457
Z	2055	21372				410			156
Z	13700	22605				1170			430
Z	7261	7672				1773			625
Z	17673	24660				1150			374
Z	16303	20276				1110			378
Y	10960	15892	331	1763	773	491	844	1344	482
Z	10138	20276				1180			329
Z	13563	25482				1053			377
Z	9727	20961				1017			302
Z	137	8768				928			387
Y	2877	3151	382	1553	627	508	757	1382	498
X	13700	15207	497	726			966	1047	1429
Z	2740	13563				1003			329
Z	13289	16577				1369			431
W	4384	5891	582	1142		744	964	991	880
Z	4521	18632				911			290
Z	16714	18358				1271			494
Z	7535	12330				1130			462
Z	5617	11782				1248			599
Z	20687	23975				964			363
X	1370	4384	779	869			1287	1604	1609
Z	24934	26852				1308			478
Z	548	14796				803			326
X	1233	3288	595	772			947	864	1160
Z	24660	26715				1536			608
X	5754	9179	837	833			1441	1703	1688
Y	10412	14796	469	1556	741	591	685	1488	534
Z	822	5069				1271			398
Z	7398	15618				1431			437
Z	1507	24934				736			238
Z	4795	22194				1127			234
Y	1781	10823	231	1271	515	432	585	1196	404
X	10686	13152	718	909			1180	1222	1383
X	3288	14111	273	485			687	686	721
Y	8631	17947	228	851	453	368	530	1030	286
W	3562	6439	380	1004		494	842	926	810
Z	15892	23016				1437			501
Z	6576	19043				841			229
Z	8494	23290				942			328
W	1918	3836	387	814		389	606	792	687
Y	2466	3562	307	1141	611	442	659	1187	503
X	1644	11234	310	584			843	769	631
Y	17536	15070	289	1346	569	422	675	960	422
Z	5480	6302				1499			474
X	0	15892	190	136			270	297	306
X	5480	10960	706	773			1212	1255	1379
Y	822	2329	268	1199	617	401	923	1398	486
Z	4110	11508				1590			604
X	1233	1507	664	913			1404	1234	1454
Y	4658	5617	410	1443	791	588	1032	1588	682
Z	18495	21372				1043			444
Z	4521	21783				829			312
X	2329	7124	556	584			989	848	965
Z	4384	21783				824			275
W	2877	5343	516	789		381	620	674	727
Y	2055	17399	178	504	245	179	369	572	226
W	6439	7946	497	1190		621	788	967	811
Y	3973	11508	220	890	471	351	643	793	381
Z	2466	14248				915			363
Z	12604	25071				1151			355
Z	4795	10960				1568			506
W	3288	5891	403	832		551	622	716	689
Z	5069	23427				542			165
X	4521	15755	377	480			587	691	776
Z	10686	12193				1803			590
Z	3425	27126				415			114
Z	4932	16166				986			318
Z	9864	13152				1307			467
Y	2192	3425	315	1165	759	443	583	1282	409
Y	1233	4795	325	1283	635	357	771	1342	528
Y	5343	13700	270	1367	755	445	687	1374	457
Z	3562	24386				353			137
Z	12330	24112				1170			358
Z	12878	25071				1056			368
Z	13974	14659				1703			711
Z	2192	3973				1585			506
Y	5754	21783	170	857	265	325	387	529	234
Z	3836	25619				614			312
Z	9179	27126				520			198
Z	5069	13426				1277			463
Y	11234	17399	267	1173	699	292	555	1099	411
X	11508	13426	503	715			980	1201	1507
Y	685	13289	202	1174	440	342	611	951	349
Y	1781	9453	356	1184	700	488	617	1196	475
Y	3699	9864	280	1029	496	363	596	1079	379
X	9042	12193	561	591			957	767	1041
Z	14659	14796				2345			705
X	9316	10549	807	837			1270	1309	1388
W	2329	4110	431	678		415	770	829	633
Z	18358	19728				1240			357
Z	4658	19043				837			267
Z	3425	10138				1348			531
Z	5480	22879				858			234
Z	12467	26441				892			307
Z	14933	16577				1591			619
Z	7809	20276				633			190
Z	10960	15755				1266			448
W	3699	6850	574	842		516	650	903	585
Z	14933	22605				1348			404
Y	7398	11097	490	2233	1143	687	1104	1949	746
Z	8631	13152				1297			438
Y	11645	13426	398	1763	852	499	892	1122	526
Z	4658	15207				1164			365
Z	23564	24934				1438			507
Y	1644	13837	196	777	287	198	450	692	259
Z	4521	11371				1419			542
Y	7261	10001	502	2163	1129	726	1316	1970	728
Z	26441	27263				1863			532
Y	6850	16029	365	1546	780	465	767	1159	474
Y	11919	15618	457	1603	789	640	1050	1425	524
Y	1370	16440	136	644	354	295	326	632	199
Z	12604	18221				1016			348
Z	12878	20550				837			279
Y	20687	15344	408	1867	975	623	847	1489	566
Z	13289	16303				1411			445
Z	6028	17810				992			325
Z	5754	16988				1002			359
Y	18632	16851	272	1094	574	429	644	1077	359
Y	6302	9179	520	1813	1101	565	1245	1667	499
Y	1096	14248	186	1030	434	388	582	906	277
X	1096	11371	393	559			806	696	788
Y	548	13426	243	1135	470	345	386	654	292
Z	1781	18358				680			194
Y	1918	17673	83	450	203	134	201	369	115
X	3836	5754	1238	946			1670	2002	1914
X	11097	15892	640	668			1057	1081	1230
Z	16029	16577				1699			704
Z	2740	9590				1298			443
W	10275	10549	616	1202		848	1092	1448	1051
W	822	3836	410	771		380	634	709	657
Y	137	10549	242	792	429	312	618	1292	291
X	3836	13289	515	515			842	687	858
Y	17399	16988	310	1179	583	412	637	975	365
Z	9453	23427				737			262
X	4110	13974	281	346			553	517	653
W	3288	8768	251	579		295	417	410	454
Y	8083	13426	377	1733	816	588	805	1612	609
Z	1096	18906				494			200
Z	6028	15755				1015			326
Y	5480	20961	108	512	243	216	302	500	194
X	6713	16166	466	506			596	670	823
Z	7809	26989				710			212
Z	1507	21646				494			172
X	0	7535	423	542			772	841	786
Z	20687	24934				794			318
Y	20139	19865		2000	985	650	970	2044	708
Z	2055	3425				1457			549
Z	7535	18769				863			252
Z	3836	20139				743			235
Z	6439	19728				716			222
Z	1096	18769				453			190
Z	16714	19317				1260			432
Z	11371	26578				672			216
Z	19454	26578				857			332
Z	4384	14659				1261			401
Z	10138	10823				1822			590
Z	274	16851				988			341
Z	19043	23701				1045			326
Z	2055	7672				1594			534
Y	6165	6576	555	2288	1002	753	1032	1918	873
X	6302	10549	669	912			1337	1327	1776
Y	11234	18632	181	1007	462	361	515	830	281
Y	8083	20550	229	928	575	289	530	729	338
X	9864	11919	518	665			1372	1366	1452
Y	1370	4384	281	1177	589	521	762	1169	448
Z	11371	17810				1231			460
Y	8905	14248	280	1636	666	463	751	1005	482
Z	3836	23016				775			154
Z	17810	18769				1237			501
Y	6439	9179	445	1877	823	689	1115	2108	551
Z	11919	21098				1179			422
Y	11234	14522	488	1551	739	753	814	1141	576
X	1096	11097	479	505			709	1004	870
Z	13700	18358				1433			445
Y	21372	20824	491	2269	1078	882	1107	1767	814
Z	7535	19180				723			323
Z	1096	15618				1420			396
Y	21783	18906	359	1702	694	585	668	1291	521
Z	1781	6439				1179			420
W	0	6987	297	553		250	496	461	407
Y	5617	13289	332	1288	627	468	1009	1770	401
W	1233	2055	441	677		527	680	872	752
Y	6028	12878	368	1369	518	468	867	1543	464
Y	5754	17673	243	1041	479	342	554	795	257
Z	9864	23564				606			230
Z	5480	10549				1412			595
Z	16303	21235				987			397
Z	3562	4384				1899			520
W	6028	7672	430	842		488	668	727	731
Y	9316	19043	210	813	446	398	472	824	288
X	6302	7535	746	912			1721	1206	1539
Z	1644	9316				1475			367
Z	822	9179				1284			341
Z	14659	21372				1320			431
Z	22742	26441				1007			388
Z	9453	27263				380			202
Y	8494	16714	347	1109	562	523	707	1374	421
Y	3699	16577	147	505	254	190	404		167
Z	411	14522				766			244
Y	4521	6713	367	1971	806	656	792	1640	474
X	9590	10275	962	1159			1730	1577	2308
Z	11371	22468				1214			392
Y	6302	11645	391	1596	757	439	974	1457	540
Z	15481	16714				2215			643
Y	11234	13015	380	1396	881	539	746	1272	531
Z	8083	9453				1249			500
Z	15618	26167				1277			451
Z	4795	16166				911			335
Y	1918	7261	331	1564	824	513	851	2048	552
X	274	15070	206	324			329	417	424
Z	3014	21509				850			220
X	5480	15892	268	280			482	588	597
X	1233	6028	503	662			1066	1109	1432
Z	3288	13837				1438			437
Z	12604	25482				755			258
X	7946	12056	551	593			1044	937	1188
Z	1233	13015				729			382
Y	21783	18221	360	1264	771	513	620	1209	394
X	1781	15481	157	277			512	473	436
Y	11234	18769	271	887	455	353	627	862	340
W	411	6302	310	488		388	437	525	570
Z	16988	17125				2037			607
Y	1507	20139	100	557	253	202	270	480	125
Z	7124	7398				1781			594
Z	10549	12604				1546			555
Z	21372	26852				778			277
Y	14385	17810	320	1387	696	485	702	1195	441
Y	13426	13426	436	1920	948	627	1264	1527	714
Z	16988	24934				1250			364
Y	5069	13289	270	1251	731	388	567	1093	507
Z	7398	12604				1446			437
X	9590	16303	309	462				811	822
Y	1781	1781	385	1644	754	638	1107	1658	520
Y	2329	9727	326	1181	578	395	652	1748	454
X	3014	6576	612	702			1240	1238	1375
Z	7398	13152				1428			372
Z	12604	16851				1431			509
Z	18769	25482				977			336
Z	5617	20276				875			254
Z	1644	22879				504			149
X	5343	6028	1013	1238			1946	2022	2862
Z	1096	10549				803			304
W	3973	8220	459	779		366	666	681	651
Y	1507	20413	169	538	223	205	234	423	241
Z	22194	23290				1490			412
Z	10138	24386				648			257
Y	6165	11097	389	1580	660	488	860	1397	494
Z	8905	23153				705			241
X	12604	13015	805	926			1272	1272	1333
Z	9042	27263				407			175
X	2740	8220	486	662			878	1034	1035
Y	10549	14522	345	1592	700	552	788	1585	515
Z	8631	24660				764			240
Y	11234	13289	356	1370	737	607	836	1518	511
X	5343	16166	246	264			408	579	560
Z	25756	26167				1719			481
Y	274	11097	212	949	524	289	513	844	229
Y	13152	16303	348	1083	652	408	851	1290	381
X	2877	7946	597	665			882	1007	1042
Y	411	17810	112	586	216	237	149	273	176
Y	7946	13563	361	1744	550	614	817	1419	784
Y	9042	10823	486	1694	997	634	1098	1817	585
Z	5617	11919				1373			491
Z	12193	23701				804			258
Z	14796	19043				1404			420
Y	11645	20550	364	1280	664	553	721	1400	470
Z	5206	23290				610			194
X	4384	10138	658	747			1049	1134	1509
X	959	8220	343	545			544	668	776
X	3014	4247	629	871			1123	1368	1475
Z	10823	22468				1065			368
Y	6987	8631	535	2200	1231	767	1150	2087	799
Z	5617	22194				760			262
Y	5206	7398	380	1663	798	594	932	1384	499
Y	7398	20276	355	1260	540	383	714	1254	391
W	411	6576	412	458		316	577	516	491
Z	10686	12604				1456			541
X	10686	10960	1041	1406		783	1948	1700	2119
Y	12467	18632	239	1232	522	315	567	1520	400
Z	7809	9590				1222			478
